"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Apr 29 00:48:31 UTC 2026","Wed Apr 29 00:48:37 UTC 2026","6037","dream_platform.ui.tests","test_forgot_password","","","","test_forgot_password_send_email_ui",""
"failed","Wed Apr 29 00:47:55 UTC 2026","Wed Apr 29 00:48:00 UTC 2026","5095","dream_platform.ui.tests","test_login","","","","test_user_valid_login","User can log in successfully and see expected elements."
"failed","Wed Apr 29 00:48:37 UTC 2026","Wed Apr 29 00:49:35 UTC 2026","57448","dream_platform.ui.tests","test_forgot_password","","","","test_forgot_password_full_flow","One full orchestrated test: send email → fetch → reset → verify → restore"
"passed","Wed Apr 29 00:48:30 UTC 2026","Wed Apr 29 00:48:31 UTC 2026","1175","dream_platform.ui.tests","test_forgot_password","","","","test_forgot_password_page_elements",""
"broken","Wed Apr 29 00:47:19 UTC 2026","Wed Apr 29 00:47:49 UTC 2026","30001","dream_platform.ui.tests","test_login","","","","test_logout","Test logout functionality and returning to login page."
"broken","Wed Apr 29 00:48:00 UTC 2026","Wed Apr 29 00:48:30 UTC 2026","30002","dream_platform.ui.tests","test_login","","","","test_cancel_logout","Test canceling logout keeps user on current page."
"failed","Wed Apr 29 00:50:40 UTC 2026","Wed Apr 29 00:50:40 UTC 2026","0","dream_platform.ui.tests","test_user_timesheet","","","","test_timesheet_page_ui_elements","Check that Timesheet page elements are visible after login."
"broken","Wed Apr 29 00:50:10 UTC 2026","Wed Apr 29 00:50:40 UTC 2026","30003","dream_platform.ui.tests","test_user_page","","","","test_password_change_and_login","Test password change workflow and login validation with old/new passwords."
"passed","Wed Apr 29 00:47:49 UTC 2026","Wed Apr 29 00:47:49 UTC 2026","186","dream_platform.ui.tests","test_login","","","","test_invalid_login_wrong_username","Login should fail with wrong username."
"broken","Wed Apr 29 00:50:45 UTC 2026","Wed Apr 29 00:51:15 UTC 2026","30003","dream_platform.ui.tests","test_user_timesheet","","","","test_timesheet_add_and_submit_workflow","Test adding a timesheet entry and submitting the timesheet."
"failed","Wed Apr 29 00:49:35 UTC 2026","Wed Apr 29 00:49:35 UTC 2026","0","dream_platform.ui.tests","test_user_page","","","","test_user_profile_page_visible","Check that user profile page elements are visible after login."
"passed","Wed Apr 29 00:47:13 UTC 2026","Wed Apr 29 00:47:14 UTC 2026","933","dream_platform.ui.tests","test_login","","","","test_login_page_elements_before_login","Check that all login page elements are visible before login."
"failed","Wed Apr 29 00:47:50 UTC 2026","Wed Apr 29 00:47:55 UTC 2026","5078","dream_platform.ui.tests","test_login","","","","test_invalid_login_wrong_username_and_password","Login should fail with wrong username and password."
"failed","Wed Apr 29 00:47:14 UTC 2026","Wed Apr 29 00:47:19 UTC 2026","5112","dream_platform.ui.tests","test_login","","","","test_admin_valid_login","Admin can log in successfully and see expected elements."
"passed","Wed Apr 29 00:47:49 UTC 2026","Wed Apr 29 00:47:50 UTC 2026","181","dream_platform.ui.tests","test_login","","","","test_invalid_login_wrong_password","Login should fail with wrong password."
"broken","Wed Apr 29 00:49:40 UTC 2026","Wed Apr 29 00:50:10 UTC 2026","30002","dream_platform.ui.tests","test_user_page","","","","test_change_password_modal_elements","Check that change password modal elements are visible."
