"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Aug 25 00:18:15 UTC 2026","Tue Aug 25 00:18:45 UTC 2026","30002","dream_platform.ui.tests","test_user_page","","","","test_password_change_and_login","Test password change workflow and login validation with old/new passwords."
"failed","Tue Aug 25 00:16:06 UTC 2026","Tue Aug 25 00:16:11 UTC 2026","5126","dream_platform.ui.tests","test_login","","","","test_user_valid_login","User can log in successfully and see expected elements."
"passed","Tue Aug 25 00:15:29 UTC 2026","Tue Aug 25 00:15:30 UTC 2026","779","dream_platform.ui.tests","test_login","","","","test_login_page_elements_before_login","Check that all login page elements are visible before login."
"failed","Tue Aug 25 00:16:44 UTC 2026","Tue Aug 25 00:17:40 UTC 2026","55789","dream_platform.ui.tests","test_forgot_password","","","","test_forgot_password_full_flow","One full orchestrated test: send email → fetch → reset → verify → restore"
"passed","Tue Aug 25 00:16:06 UTC 2026","Tue Aug 25 00:16:06 UTC 2026","247","dream_platform.ui.tests","test_login","","","","test_invalid_login_wrong_username_and_password","Login should fail with wrong username and password."
"failed","Tue Aug 25 00:17:40 UTC 2026","Tue Aug 25 00:17:40 UTC 2026","0","dream_platform.ui.tests","test_user_page","","","","test_user_profile_page_visible","Check that user profile page elements are visible after login."
"broken","Tue Aug 25 00:17:45 UTC 2026","Tue Aug 25 00:18:15 UTC 2026","30002","dream_platform.ui.tests","test_user_page","","","","test_change_password_modal_elements","Check that change password modal elements are visible."
"passed","Tue Aug 25 00:16:05 UTC 2026","Tue Aug 25 00:16:06 UTC 2026","348","dream_platform.ui.tests","test_login","","","","test_invalid_login_wrong_username","Login should fail with wrong username."
"failed","Tue Aug 25 00:18:45 UTC 2026","Tue Aug 25 00:18:45 UTC 2026","0","dream_platform.ui.tests","test_user_timesheet","","","","test_timesheet_page_ui_elements","Check that Timesheet page elements are visible after login."
"passed","Tue Aug 25 00:16:43 UTC 2026","Tue Aug 25 00:16:44 UTC 2026","1056","dream_platform.ui.tests","test_forgot_password","","","","test_forgot_password_send_email_ui",""
"passed","Tue Aug 25 00:16:42 UTC 2026","Tue Aug 25 00:16:43 UTC 2026","1265","dream_platform.ui.tests","test_forgot_password","","","","test_forgot_password_page_elements",""
"failed","Tue Aug 25 00:15:30 UTC 2026","Tue Aug 25 00:15:35 UTC 2026","5148","dream_platform.ui.tests","test_login","","","","test_admin_valid_login","Admin can log in successfully and see expected elements."
"broken","Tue Aug 25 00:16:11 UTC 2026","Tue Aug 25 00:16:41 UTC 2026","30002","dream_platform.ui.tests","test_login","","","","test_cancel_logout","Test canceling logout keeps user on current page."
"broken","Tue Aug 25 00:15:35 UTC 2026","Tue Aug 25 00:16:05 UTC 2026","30002","dream_platform.ui.tests","test_login","","","","test_logout","Test logout functionality and returning to login page."
"broken","Tue Aug 25 00:18:50 UTC 2026","Tue Aug 25 00:19:20 UTC 2026","30003","dream_platform.ui.tests","test_user_timesheet","","","","test_timesheet_add_and_submit_workflow","Test adding a timesheet entry and submitting the timesheet."
"passed","Tue Aug 25 00:16:06 UTC 2026","Tue Aug 25 00:16:06 UTC 2026","265","dream_platform.ui.tests","test_login","","","","test_invalid_login_wrong_password","Login should fail with wrong password."
