"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue May 05 00:48:11 UTC 2026","Tue May 05 00:48:41 UTC 2026","30001","dream_platform.ui.tests","test_login","","","","test_cancel_logout","Test canceling logout keeps user on current page."
"passed","Tue May 05 00:48:43 UTC 2026","Tue May 05 00:48:44 UTC 2026","1055","dream_platform.ui.tests","test_forgot_password","","","","test_forgot_password_send_email_ui",""
"broken","Tue May 05 00:49:46 UTC 2026","Tue May 05 00:50:16 UTC 2026","30001","dream_platform.ui.tests","test_user_page","","","","test_change_password_modal_elements","Check that change password modal elements are visible."
"failed","Tue May 05 00:47:28 UTC 2026","Tue May 05 00:47:34 UTC 2026","5571","dream_platform.ui.tests","test_login","","","","test_admin_valid_login","Admin can log in successfully and see expected elements."
"passed","Tue May 05 00:48:41 UTC 2026","Tue May 05 00:48:43 UTC 2026","2363","dream_platform.ui.tests","test_forgot_password","","","","test_forgot_password_page_elements",""
"passed","Tue May 05 00:48:05 UTC 2026","Tue May 05 00:48:05 UTC 2026","333","dream_platform.ui.tests","test_login","","","","test_invalid_login_wrong_username_and_password","Login should fail with wrong username and password."
"broken","Tue May 05 00:47:34 UTC 2026","Tue May 05 00:48:04 UTC 2026","30002","dream_platform.ui.tests","test_login","","","","test_logout","Test logout functionality and returning to login page."
"failed","Tue May 05 00:48:44 UTC 2026","Tue May 05 00:49:40 UTC 2026","56173","dream_platform.ui.tests","test_forgot_password","","","","test_forgot_password_full_flow","One full orchestrated test: send email → fetch → reset → verify → restore"
"broken","Tue May 05 00:50:16 UTC 2026","Tue May 05 00:50:46 UTC 2026","30002","dream_platform.ui.tests","test_user_page","","","","test_password_change_and_login","Test password change workflow and login validation with old/new passwords."
"passed","Tue May 05 00:47:26 UTC 2026","Tue May 05 00:47:28 UTC 2026","2258","dream_platform.ui.tests","test_login","","","","test_login_page_elements_before_login","Check that all login page elements are visible before login."
"failed","Tue May 05 00:50:46 UTC 2026","Tue May 05 00:50:46 UTC 2026","0","dream_platform.ui.tests","test_user_timesheet","","","","test_timesheet_page_ui_elements","Check that Timesheet page elements are visible after login."
"passed","Tue May 05 00:48:04 UTC 2026","Tue May 05 00:48:05 UTC 2026","630","dream_platform.ui.tests","test_login","","","","test_invalid_login_wrong_username","Login should fail with wrong username."
"failed","Tue May 05 00:49:40 UTC 2026","Tue May 05 00:49:40 UTC 2026","0","dream_platform.ui.tests","test_user_page","","","","test_user_profile_page_visible","Check that user profile page elements are visible after login."
"failed","Tue May 05 00:48:05 UTC 2026","Tue May 05 00:48:11 UTC 2026","5242","dream_platform.ui.tests","test_login","","","","test_user_valid_login","User can log in successfully and see expected elements."
"broken","Tue May 05 00:50:52 UTC 2026","Tue May 05 00:51:22 UTC 2026","30002","dream_platform.ui.tests","test_user_timesheet","","","","test_timesheet_add_and_submit_workflow","Test adding a timesheet entry and submitting the timesheet."
"passed","Tue May 05 00:48:05 UTC 2026","Tue May 05 00:48:05 UTC 2026","463","dream_platform.ui.tests","test_login","","","","test_invalid_login_wrong_password","Login should fail with wrong password."
